   Vol_A   Vol_B
   0.32   0.66
   0.86   0.16
   0.89   0.08
   0.74   0.18
   0.30   0.71
   0.01   0.94
   0.04   1.01
   0.14   0.92
   0.02   0.98
   0.01   0.96
   0.01   1.08
   0.16   0.84
   0.91   0.09
   1.04   0.00
   0.97   0.02
   0.64   0.31
   0.07   0.90
   0.00   1.13
   0.08   0.97
   0.30   0.56
   0.25   0.86
   0.62   0.34
   0.88   0.16
   0.66   0.34
   0.11   0.88
   0.08   0.84
   0.38   0.54
   0.39   0.51
   0.09   0.94
   0.24   0.77
   0.10   0.85
   0.24   0.72
   0.91   0.15
   0.88   0.00
   0.70   0.23
   0.27   0.78
   0.04   1.04
   0.02   1.01
   0.12   0.84
   0.20   0.74
   0.38   0.68
   0.56   0.42
   0.81   0.14
   0.65   0.37
   0.20   0.85
   0.46   0.44
   0.88   0.16
   0.89   0.10
   0.46   0.44
   0.73   0.21
   0.36   0.58
   0.09   1.00
   0.47   0.55
   0.66   0.30
   0.34   0.61
   0.28   0.65
   0.21   0.66
   0.15   0.91
   0.10   0.99
   0.44   0.59
   0.44   0.56
   0.11   0.91
   0.15   0.87
   0.22   0.77
   0.31   0.50
   0.70   0.33
   0.89   0.10
   0.92   0.02
   1.01   0.01
   1.03   0.00
   0.97   0.06
   0.57   0.36
   0.24   0.74
   0.21   0.77
   0.35   0.73
   0.64   0.25
   0.99   0.02
   0.51   0.41
   0.48   0.46
   0.74   0.31
   0.07   0.96
   0.03   1.04
   0.02   0.95
   0.43   0.56
   0.77   0.26
   0.90   0.11
   0.70   0.26
   1.05   0.08
   0.95   0.00
   0.98   0.00
   0.91   0.01
   0.93   0.09
   0.33   0.69
   0.07   0.96
   0.46   0.47
   0.95   0.03
   1.03   0.00
   0.97   0.02
   0.88   0.06
   0.56   0.46
   0.36   0.59
   0.03   0.98
   0.05   0.90
   0.65   0.32
   0.88   0.06
   0.89   0.14
   0.53   0.37
   0.69   0.21
   1.08   0.00
   1.05   0.00
   1.11   0.00
   1.11   0.05
   0.23   0.68
   0.03   1.08
   0.25   0.80
   0.63   0.40
   0.90   0.11
   0.97   0.00
   0.95   0.05
   0.83   0.22
   0.14   0.93
   0.02   1.01
   0.24   0.87
   0.86   0.10
   1.10   0.00
   1.05   0.06
   0.86   0.09
   1.02   0.10
   0.99   0.00
   0.93   0.00
   0.99   0.01
   1.01   0.02
   0.70   0.27
   0.52   0.47
   0.19   0.81
   0.23   0.85
   0.75   0.21
   1.16   0.00
   0.78   0.21
   0.20   0.74
   0.04   1.05
   0.22   0.72
   0.44   0.57
   1.06   0.03
   0.90   0.00
   1.03   0.00
   1.08   0.00
   1.03   0.01
   1.05   0.00
   0.97   0.00
   0.96   0.00
   1.14   0.00
   1.03   0.03
   0.88   0.17
   0.41   0.59
   0.29   0.72
   0.77   0.27
   0.90   0.08
   0.78   0.23
   0.17   0.80
   0.00   0.94
   0.05   0.96
   0.28   0.68
   0.93   0.08
   1.07   0.00
   1.04   0.00
   0.91   0.15
   0.93   0.10
   1.11   0.04
   1.09   0.02
   0.95   0.01
   0.95   0.06
   0.84   0.21
   0.68   0.31
   0.12   0.89
   0.01   1.05
   0.12   0.91
   0.11   0.89
   0.16   0.81
   0.02   0.83
   0.00   1.13
   0.03   0.99
   0.33   0.67
   0.90   0.08
   0.94   0.00
   0.98   0.03
   0.37   0.53
   0.51   0.52
   0.77   0.22
   0.80   0.13
   1.02   0.03
   0.93   0.08
   0.99   0.05
   0.67   0.38
   0.26   0.81
   0.03   0.90
   0.05   0.98
   0.05   0.99
   0.04   1.00
   0.00   0.98
   0.00   1.12
   0.07   0.96
   0.70   0.30
   1.07   0.00
   1.08   0.00
   0.78   0.12
   0.18   0.79
   0.16   0.88
   0.56   0.44
   0.87   0.20
   0.64   0.26
   0.94   0.20
   0.82   0.20
   0.94   0.09
   0.74   0.22
   0.54   0.36
   0.57   0.49
   0.39   0.59
   0.03   0.99
   0.00   1.02
   0.00   0.99
   0.22   0.76
   0.95   0.05
   0.97   0.00
   1.09   0.05
   0.77   0.23
   0.33   0.55
   0.41   0.49
   0.57   0.33
   0.93   0.10
   0.64   0.19
   0.99   0.12
   0.89   0.07
   0.94   0.00
   1.03   0.00
   0.88   0.08
   0.71   0.24
   0.54   0.34
   0.09   0.92
   0.01   1.01
   0.00   1.00
   0.15   0.83
   0.68   0.29
   1.05   0.00
   0.97   0.02
   1.00   0.06
   0.79   0.15
   0.75   0.16
   0.82   0.16
   0.70   0.25
   0.46   0.52
   0.82   0.16
   0.91   0.07
   1.05   0.01
   1.06   0.00
   1.02   0.00
   0.97   0.07
   0.54   0.36
   0.11   0.96
   0.00   1.08
   0.00   1.02
   0.04   0.96
   0.54   0.44
   0.87   0.03
   0.89   0.00
   0.93   0.08
   0.91   0.10
   0.87   0.15
   0.52   0.44
   0.29   0.68
   0.13   0.93
   0.31   0.66
   0.80   0.14
   1.04   0.00
   1.08   0.00
   0.95   0.00
   0.82   0.15
   0.64   0.28
   0.24   0.70
   0.00   1.07
   0.00   1.07
   0.03   0.93
   0.49   0.47
   0.96   0.07
   0.94   0.01
   0.85   0.12
   0.47   0.33
   0.51   0.47
   0.27   0.63
   0.15   0.87
   0.02   0.97
   0.15   0.92
   0.69   0.24
   1.01   0.00
   0.96   0.00
   1.09   0.08
   0.55   0.39
   0.67   0.31
   0.23   0.74
   0.01   0.98
   0.02   1.04
   0.05   0.96
   0.21   0.78
   0.86   0.13
   0.98   0.16
   0.31   0.68
   0.10   0.95
   0.14   0.79
   0.08   0.99
   0.04   1.02
   0.12   0.82
   0.90   0.08
   0.96   0.00
   0.92   0.04
   0.98   0.06
   0.91   0.10
   0.33   0.66
   0.37   0.70
   0.13   0.89
   0.01   1.13
   0.08   0.92
   0.15   0.82
   0.27   0.63
   0.87   0.04
   0.87   0.13
   0.18   0.91
   0.01   1.03
   0.08   0.97
   0.08   0.97
   0.03   0.83
   0.09   0.93
   0.80   0.13
   1.03   0.00
   0.95   0.07
   0.97   0.09
   0.42   0.46
   0.19   0.75
   0.26   0.74
   0.13   0.87
   0.01   1.02
   0.58   0.39
   0.73   0.22
   1.02   0.07
   0.92   0.06
   0.74   0.26
   0.23   0.75
   0.05   1.09
   0.00   1.06
   0.04   1.03
   0.10   0.97
   0.16   0.76
   0.80   0.15
   0.98   0.02
   1.08   0.01
   0.96   0.00
   0.63   0.21
   0.21   0.83
   0.15   0.99
   0.05   0.90
   0.06   0.97
   0.98   0.03
   1.13   0.00
   1.09   0.00
   0.79   0.15
   0.20   0.78
   0.02   1.00
   0.00   0.98
   0.00   1.15
   0.00   1.12
   0.03   0.85
   0.02   1.05
   0.42   0.62
   0.90   0.08
   1.07   0.00
   1.08   0.00
   0.93   0.14
   0.28   0.61
   0.03   0.98
   0.15   0.77
   0.77   0.30
   0.91   0.03
   1.03   0.00
   1.00   0.01
   0.65   0.37
   0.11   0.88
   0.00   1.11
   0.00   0.96
   0.00   0.94
   0.00   1.10
   0.01   0.83
   0.00   1.01
   0.12   0.82
   0.90   0.09
   1.04   0.00
   1.11   0.00
   0.83   0.18
   0.17   0.78
   0.00   1.16
   0.12   0.90
   0.92   0.08
   0.75   0.14
   0.91   0.04
   0.79   0.00
   0.94   0.15
   0.11   0.92
   0.00   1.04
   0.00   1.04
   0.00   1.05
   0.00   1.03
   0.00   0.96
   0.05   0.80
   0.10   0.87
   0.44   0.55
   0.86   0.21
   0.79   0.19
   0.76   0.22
   0.18   0.77
   0.17   0.93
   0.52   0.54
   0.87   0.20
   0.66   0.38
   0.87   0.07
   1.10   0.02
   0.77   0.18
   0.08   0.97
   0.00   0.94
   0.02   0.98
   0.08   0.89
   0.10   0.78
   0.03   0.93
   0.09   0.88
   0.23   0.75
   0.51   0.48
   0.90   0.09
   0.56   0.38
   0.05   1.00
   0.00   0.89
   0.02   0.80
   0.54   0.46
   0.54   0.49
   0.74   0.18
   0.89   0.12
   1.01   0.06
   0.62   0.31
   0.05   1.01
   0.05   0.96
   0.35   0.59
   0.65   0.39
   0.68   0.52
   0.71   0.23
   0.49   0.48
   0.27   0.62
   0.25   0.70
   0.95   0.15
   0.56   0.54
   0.10   0.89
   0.24   0.73
   0.19   0.72
   0.36   0.63
   0.79   0.23
   0.75   0.17
   0.67   0.31
   0.14   0.98
   0.06   0.97
   0.06   0.90
   0.33   0.69
   0.48   0.44
   0.69   0.28
   0.88   0.04
   0.90   0.00
   0.94   0.02
   0.70   0.30
   0.49   0.52
   0.70   0.23
   0.69   0.18
   0.72   0.16
   0.99   0.03
   0.64   0.31
   0.80   0.33
   1.00   0.05
   0.65   0.29
   0.48   0.44
   0.12   0.90
   0.28   0.67
   0.46   0.51
   0.67   0.30
   0.46   0.55
   0.80   0.15
   0.93   0.00
   1.07   0.00
   0.98   0.00
   0.81   0.01
   0.68   0.32
   0.66   0.32
   0.87   0.16
   1.07   0.05
   1.13   0.00
   1.03   0.00
   1.00   0.06
   0.96   0.10
   0.72   0.31
   0.42   0.52
   0.46   0.52
   0.64   0.36
   1.00   0.06
   0.86   0.12
   0.46   0.49
   0.73   0.24
   0.93   0.00
   0.89   0.01
   1.09   0.00
   0.68   0.18
   0.15   0.84
   0.33   0.68
   0.24   0.68
   0.53   0.39
   0.93   0.08
   0.99   0.00
   1.05   0.01
   1.01   0.05
   0.40   0.57
   0.18   0.76
   0.66   0.30
   0.98   0.07
   0.96   0.01
   1.09   0.01
   1.00   0.04
   0.83   0.15
   1.05   0.05
   0.93   0.10
   0.77   0.11
   0.66   0.20
   0.18   0.73
   0.25   0.89
   0.04   1.00
   0.26   0.78
   0.74   0.17
   0.97   0.00
   0.93   0.08
   0.61   0.29
   0.06   0.95
   0.19   0.86
   0.72   0.26
   1.01   0.01
   0.98   0.00
   0.98   0.00
   0.92   0.04
   0.78   0.22
   1.12   0.02
   0.77   0.21
   0.84   0.19
   0.77   0.16
   0.66   0.34
   0.40   0.65
   0.15   0.94
   0.36   0.78
   0.99   0.09
   1.03   0.02
   0.97   0.13
   0.43   0.48
   0.00   0.98
   0.07   0.93
   0.31   0.72
   0.88   0.12
   1.19   0.00
   1.17   0.01
   0.65   0.31
   0.51   0.37
   0.73   0.28
   0.82   0.16
   0.65   0.20
   0.70   0.27
   0.53   0.39
   0.17   0.72
   0.04   0.96
   0.06   1.00
   0.51   0.53
   0.74   0.34
   0.66   0.38
   0.11   0.87
   0.01   0.93
   0.08   0.94
   0.30   0.82
   0.81   0.26
   0.88   0.03
   0.92   0.10
   0.23   0.83
   0.18   0.83
   0.23   0.74
   0.19   0.81
   0.42   0.63
   0.49   0.46
   0.84   0.11
   0.86   0.12
   0.34   0.56
   0.11   0.94
   0.42   0.53
   0.71   0.32
   0.53   0.44
