   Vol_A   Vol_B
   0.01   0.99
   0.01   0.99
   0.06   0.93
   0.37   0.62
   0.94   0.05
   0.86   0.12
   0.13   0.87
   0.01   1.04
   0.01   1.00
   0.22   0.79
   0.17   0.80
   0.30   0.68
   0.69   0.28
   0.86   0.18
   1.02   0.00
   1.01   0.00
   0.97   0.02
   0.80   0.22
   0.29   0.70
   0.03   0.93
   0.00   1.01
   0.03   0.99
   0.22   0.79
   0.38   0.61
   0.93   0.08
   0.81   0.14
   0.28   0.71
   0.05   0.94
   0.11   0.93
   0.18   0.82
   0.09   0.90
   0.14   0.89
   0.76   0.21
   0.97   0.03
   0.93   0.01
   0.98   0.00
   0.98   0.00
   0.91   0.06
   0.47   0.54
   0.06   0.97
   0.00   0.99
   0.00   0.99
   0.02   1.01
   0.31   0.69
   0.90   0.10
   1.00   0.06
   0.65   0.35
   0.27   0.76
   0.12   0.85
   0.05   0.92
   0.02   0.99
   0.09   0.90
   0.39   0.58
   0.73   0.26
   0.91   0.11
   0.99   0.00
   0.99   0.00
   0.93   0.01
   0.53   0.42
   0.09   0.90
   0.03   1.01
   0.01   1.00
   0.07   0.93
   0.48   0.55
   0.84   0.16
   1.00   0.02
   1.01   0.01
   0.94   0.07
   0.36   0.65
   0.00   1.03
   0.00   1.01
   0.01   0.98
   0.03   0.99
   0.23   0.82
   0.74   0.25
   0.94   0.04
   0.98   0.00
   0.98   0.00
   0.76   0.23
   0.17   0.80
   0.27   0.73
   0.19   0.81
   0.23   0.77
   0.83   0.16
   1.00   0.01
   1.00   0.01
   0.98   0.00
   1.00   0.03
   0.77   0.21
   0.10   0.87
   0.00   1.02
   0.00   0.99
   0.00   1.01
   0.03   0.96
   0.26   0.76
   0.78   0.21
   1.02   0.00
   0.99   0.00
   0.98   0.02
   0.49   0.48
   0.81   0.22
   0.44   0.57
   0.84   0.13
   0.89   0.14
   0.97   0.01
   0.95   0.02
   0.95   0.07
   0.81   0.20
   0.66   0.37
   0.15   0.86
   0.01   1.01
   0.01   0.98
   0.06   0.93
   0.05   0.93
   0.52   0.46
   0.93   0.05
   1.06   0.00
   0.99   0.00
   1.02   0.01
   0.95   0.05
   0.40   0.58
   0.49   0.49
   0.92   0.04
   0.99   0.02
   0.97   0.02
   0.91   0.09
   0.51   0.49
   0.21   0.80
   0.50   0.51
   0.25   0.74
   0.06   0.98
   0.01   0.96
   0.18   0.82
   0.29   0.71
   0.87   0.15
   0.98   0.00
   0.98   0.00
   1.02   0.01
   0.95   0.06
   0.72   0.29
   0.15   0.85
   0.79   0.20
   0.98   0.01
   1.03   0.00
   0.98   0.00
   0.56   0.44
   0.16   0.88
   0.17   0.84
   0.09   0.88
   0.12   0.85
   0.14   0.85
   0.02   0.98
   0.12   0.89
   0.15   0.87
   0.63   0.38
   0.69   0.30
   0.92   0.11
   0.60   0.41
   0.42   0.58
   0.42   0.58
   0.86   0.12
   0.95   0.01
   0.99   0.00
   1.03   0.00
   0.83   0.18
   0.60   0.40
   0.17   0.81
   0.08   0.91
   0.01   1.01
   0.05   0.93
   0.26   0.73
   0.06   0.98
   0.01   1.01
   0.04   0.96
   0.16   0.84
   0.18   0.81
   0.51   0.49
   0.24   0.72
   0.32   0.67
   0.73   0.26
   0.99   0.00
   0.98   0.01
   0.96   0.04
   0.85   0.09
   0.29   0.69
   0.29   0.74
   0.12   0.87
   0.00   1.01
   0.00   1.01
   0.00   1.02
   0.06   0.98
   0.03   0.98
   0.00   1.03
   0.01   1.00
   0.02   0.97
   0.01   0.96
   0.03   1.00
   0.02   1.00
   0.03   0.96
   0.53   0.49
   0.95   0.04
   0.76   0.23
   0.51   0.46
   0.38   0.62
   0.04   0.95
   0.00   1.04
   0.00   1.01
   0.02   1.02
   0.02   1.00
   0.00   1.02
   0.00   1.02
   0.00   0.97
   0.00   1.02
   0.00   0.97
   0.00   1.01
   0.00   0.98
   0.03   0.97
   0.01   0.97
   0.04   0.96
   0.62   0.36
   0.32   0.67
   0.24   0.79
   0.11   0.89
   0.11   0.88
   0.01   0.98
   0.00   0.99
   0.00   0.97
   0.13   0.86
   0.15   0.83
   0.00   1.00
   0.00   1.01
   0.00   0.96
   0.01   1.00
   0.01   1.00
   0.05   0.92
   0.36   0.65
   0.38   0.59
   0.16   0.88
   0.28   0.71
   0.64   0.35
   0.14   0.87
   0.05   0.94
   0.20   0.79
   0.21   0.78
   0.18   0.82
   0.01   1.00
   0.00   1.00
   0.00   1.00
   0.00   0.98
   0.00   1.04
   0.09   0.91
   0.10   0.88
   0.11   0.89
   0.50   0.49
   0.75   0.25
   0.91   0.09
   0.96   0.08
   0.88   0.11
   0.79   0.22
   0.64   0.33
   0.19   0.83
   0.06   0.94
   0.57   0.43
   0.80   0.20
   0.45   0.55
   0.07   0.91
   0.00   1.01
   0.03   0.94
   0.06   0.91
   0.02   0.99
   0.35   0.62
   0.54   0.47
   0.59   0.42
   0.96   0.05
   1.01   0.01
   1.00   0.00
   0.99   0.00
   1.05   0.00
   0.98   0.00
   0.58   0.36
   0.49   0.53
   0.43   0.57
   0.87   0.14
   0.94   0.04
   0.85   0.18
   0.36   0.65
   0.06   0.95
   0.29   0.73
   0.22   0.78
   0.05   0.91
   0.12   0.88
   0.49   0.54
   0.86   0.12
   1.03   0.00
   1.03   0.01
   1.01   0.00
   1.02   0.00
   0.99   0.00
   0.99   0.00
   0.94   0.06
   0.92   0.11
   0.86   0.15
   0.91   0.08
   0.99   0.01
   1.01   0.01
   0.71   0.26
   0.70   0.31
   0.79   0.19
   0.37   0.61
   0.11   0.89
   0.40   0.57
   0.90   0.10
   1.01   0.04
   0.98   0.08
   0.78   0.22
   0.90   0.06
   0.99   0.00
   0.98   0.00
   1.00   0.00
   1.04   0.00
   0.97   0.00
   0.99   0.01
   1.01   0.00
   1.02   0.00
   1.02   0.00
   0.96   0.05
   0.80   0.16
   0.61   0.32
   0.25   0.74
   0.11   0.89
   0.70   0.28
   0.72   0.26
   0.24   0.75
   0.11   0.86
   0.11   0.88
   0.37   0.63
   0.99   0.01
   1.01   0.00
   1.00   0.00
   1.02   0.00
   0.95   0.04
   0.91   0.05
   0.95   0.03
   0.98   0.02
   0.85   0.14
   0.28   0.74
   0.27   0.72
   0.10   0.90
   0.03   0.99
   0.03   0.99
   0.28   0.78
   0.28   0.68
   0.07   0.94
   0.01   1.03
   0.00   1.02
   0.37   0.64
   0.82   0.21
   0.97   0.05
   0.92   0.05
   0.90   0.10
   0.32   0.66
   0.68   0.31
   0.84   0.16
   0.96   0.05
   0.91   0.11
   0.26   0.73
   0.03   0.96
   0.00   1.03
   0.00   0.98
   0.01   1.00
   0.01   0.99
   0.01   1.00
   0.01   0.99
   0.06   0.98
   0.15   0.85
   0.51   0.48
   0.87   0.12
   0.94   0.10
   0.40   0.60
   0.22   0.78
   0.03   0.99
   0.16   0.86
   0.27   0.71
   0.88   0.14
   0.93   0.04
   0.83   0.16
   0.15   0.86
   0.00   1.03
   0.00   1.03
   0.01   1.00
   0.00   0.97
   0.07   0.94
   0.43   0.61
   0.67   0.36
   0.86   0.09
   0.95   0.03
   0.98   0.03
   0.80   0.22
   0.18   0.79
   0.00   0.95
   0.00   1.01
   0.00   1.03
   0.06   0.96
   0.51   0.44
   0.70   0.29
   0.80   0.21
   0.31   0.72
   0.00   0.98
   0.00   1.01
   0.06   0.93
   0.16   0.82
   0.13   0.88
   0.24   0.74
   0.74   0.25
   0.99   0.01
   1.01   0.02
   0.88   0.11
   0.92   0.07
   0.36   0.65
   0.00   1.00
   0.00   1.01
   0.01   1.00
   0.06   0.92
   0.22   0.77
   0.69   0.32
   0.68   0.30
   0.32   0.70
   0.02   0.94
   0.00   1.02
   0.06   0.95
   0.02   0.95
   0.06   0.92
   0.67   0.32
   0.89   0.09
   0.98   0.00
   0.99   0.00
   0.97   0.01
   0.97   0.04
   0.35   0.67
   0.00   1.01
   0.00   1.02
   0.00   1.01
   0.02   0.96
   0.11   0.92
   0.69   0.28
   0.77   0.25
   0.45   0.53
   0.07   0.95
   0.01   0.97
   0.00   0.97
   0.00   0.99
   0.00   1.00
   0.29   0.67
   0.75   0.27
   1.01   0.03
   1.00   0.00
   1.00   0.00
   0.94   0.08
   0.25   0.75
   0.01   1.02
   0.01   0.99
   0.00   0.99
   0.01   1.01
   0.09   0.92
   0.55   0.45
   0.78   0.26
   0.90   0.11
   0.54   0.47
   0.15   0.87
   0.00   0.99
   0.00   1.00
   0.00   1.00
   0.01   0.98
   0.20   0.77
   0.85   0.12
   0.99   0.00
   0.96   0.00
   0.95   0.06
   0.70   0.33
   0.20   0.82
   0.03   0.94
   0.00   0.96
   0.05   0.97
   0.25   0.76
   0.79   0.25
   0.74   0.28
   1.06   0.00
   0.91   0.08
   0.74   0.26
   0.19   0.78
   0.00   1.01
   0.05   0.97
   0.00   1.03
   0.13   0.86
   0.53   0.46
   0.97   0.02
   1.02   0.00
   1.00   0.00
   0.92   0.06
   0.28   0.72
   0.31   0.72
   0.02   0.98
   0.23   0.77
   0.28   0.76
   0.79   0.19
   0.79   0.17
   0.95   0.06
   0.92   0.06
   0.88   0.15
   0.31   0.71
   0.06   0.96
   0.31   0.74
   0.12   0.89
   0.08   0.89
   0.81   0.18
   1.01   0.00
   0.99   0.00
   1.05   0.00
   0.98   0.03
   0.64   0.40
   0.12   0.86
   0.10   0.91
   0.49   0.50
   0.64   0.33
   0.85   0.19
   0.41   0.54
   0.37   0.66
   0.63   0.33
   0.89   0.10
   0.59   0.41
   0.16   0.88
   0.20   0.79
   0.25   0.74
   0.13   0.88
   0.72   0.29
   0.94   0.06
   1.00   0.01
   1.03   0.00
   0.97   0.04
   0.42   0.58
   0.20   0.81
   0.45   0.57
   0.96   0.07
   0.98   0.01
   0.92   0.05
   0.30   0.72
   0.13   0.89
   0.50   0.52
   0.34   0.66
   0.59   0.39
   0.70   0.27
   0.60   0.38
   0.23   0.75
   0.11   0.90
   0.15   0.86
   0.27   0.73
   0.63   0.36
   0.75   0.25
   0.87   0.18
   0.52   0.44
   0.84   0.14
   0.89   0.09
   0.98   0.03
   0.99   0.00
   0.96   0.02
   0.85   0.15
   0.72   0.31
   0.47   0.55
   0.18   0.83
   0.26   0.71
   0.73   0.25
   0.44   0.55
   0.11   0.86
   0.10   0.88
   0.01   0.99
   0.02   1.02
   0.16   0.83
   0.30   0.70
   0.70   0.31
   0.93   0.08
   0.96   0.00
   0.99   0.01
   0.91   0.05
   0.88   0.13
   0.78   0.24
   0.71   0.30
   0.36   0.65
   0.16   0.82
   0.01   0.99
   0.01   0.99
   0.08   0.92
   0.07   0.94
   0.01   0.97
   0.02   0.99
   0.01   0.97
   0.01   0.98
   0.00   1.01
   0.02   0.97
   0.21   0.78
   0.95   0.06
   0.99   0.01
   0.98   0.02
   0.58   0.42
   0.22   0.76
   0.11   0.86
   0.06   0.97
   0.14   0.82
   0.04   0.96
   0.02   0.96
   0.00   0.99
   0.01   1.03
   0.00   0.97
   0.00   0.99
   0.01   0.97
   0.01   1.02
   0.01   1.02
   0.02   0.98
   0.00   1.03
   0.09   0.92
   0.77   0.17
   0.35   0.64
   0.70   0.31
   0.53   0.49
   0.23   0.75
   0.05   0.93
   0.01   1.00
   0.01   1.02
   0.01   0.92
   0.08   0.93
   0.00   0.96
   0.00   1.00
   0.00   1.01
   0.00   1.00
   0.04   0.91
   0.15   0.82
   0.17   0.85
   0.23   0.78
   0.12   0.87
   0.04   0.95
   0.23   0.77
   0.02   0.99
   0.04   0.97
   0.10   0.90
   0.10   0.94
   0.15   0.84
   0.02   0.98
   0.00   1.01
   0.00   1.05
   0.00   1.01
   0.00   1.01
   0.01   0.99
   0.01   1.03
   0.02   0.96
   0.31   0.71
   0.53   0.46
   0.65   0.33
   0.88   0.14
   0.75   0.28
   0.36   0.63
   0.20   0.84
   0.04   0.96
   0.01   0.98
   0.33   0.67
   0.54   0.46
   0.04   0.96
   0.00   0.98
   0.00   1.00
   0.01   0.97
   0.01   0.99
   0.00   1.00
   0.03   0.98
   0.05   0.99
   0.46   0.52
   0.91   0.11
   0.99   0.01
   0.96   0.02
   1.00   0.02
   0.91   0.02
   0.91   0.04
   0.49   0.51
   0.15   0.90
   0.11   0.87
   0.39   0.59
   0.65   0.37
   0.28   0.73
   0.10   0.88
   0.04   0.98
   0.34   0.67
   0.33   0.68
   0.08   0.87
   0.05   0.94
   0.39   0.63
   0.80   0.18
   1.03   0.00
   1.01   0.00
   0.94   0.04
   0.92   0.06
   0.95   0.06
   0.95   0.05
   0.66   0.35
   0.53   0.51
   0.50   0.52
   0.46   0.51
   0.88   0.14
   0.89   0.10
   0.80   0.20
   0.78   0.19
   0.93   0.06
   0.88   0.11
   0.73   0.26
   0.67   0.35
   0.89   0.13
   0.80   0.22
   0.84   0.17
   0.81   0.19
   0.79   0.21
   0.90   0.07
   0.94   0.08
   0.98   0.04
   0.67   0.33
   0.87   0.10
   0.86   0.09
   0.97   0.06
   1.01   0.01
   1.03   0.00
   1.00   0.00
   0.97   0.07
   0.92   0.08
   0.88   0.10
   0.84   0.16
   0.95   0.06
   0.90   0.05
   0.49   0.51
   0.16   0.82
   0.07   0.96
   0.20   0.78
   0.54   0.46
   0.87   0.15
   0.96   0.02
   0.87   0.09
   0.93   0.03
   0.98   0.02
   1.00   0.00
   1.01   0.00
   0.99   0.00
   0.95   0.08
   0.72   0.34
   0.41   0.58
   0.43   0.56
   0.52   0.52
   0.65   0.38
   0.70   0.27
   0.36   0.65
   0.13   0.87
   0.00   0.96
   0.03   0.99
   0.23   0.80
   0.85   0.18
   0.92   0.09
   0.86   0.17
   0.51   0.48
   0.91   0.09
   0.99   0.02
   1.02   0.00
   0.99   0.00
   0.87   0.11
   0.43   0.56
   0.09   0.96
   0.06   0.95
   0.14   0.86
   0.23   0.75
   0.04   0.93
   0.05   0.92
   0.09   0.95
   0.18   0.82
   0.30   0.70
   0.45   0.55
   0.95   0.05
   0.59   0.39
   0.17   0.83
   0.06   0.96
   0.28   0.70
   0.48   0.51
   0.94   0.05
   1.00   0.00
   0.91   0.07
   0.16   0.79
   0.00   0.99
   0.01   0.99
   0.21   0.76
   0.40   0.58
   0.06   0.93
   0.12   0.87
   0.62   0.39
   0.92   0.13
   0.93   0.10
   0.91   0.12
   0.87   0.17
   0.34   0.72
   0.00   0.97
   0.00   1.03
   0.00   1.04
   0.04   0.99
   0.59   0.39
   0.40   0.60
   0.40   0.60
   0.15   0.83
   0.00   1.00
   0.01   0.95
   0.23   0.77
   0.16   0.81
   0.06   0.94
   0.47   0.54
   0.82   0.17
   0.93   0.05
   0.92   0.10
   0.76   0.21
   0.87   0.14
   0.32   0.67
   0.00   0.97
   0.00   1.01
   0.00   0.99
   0.00   0.98
   0.07   0.96
   0.10   0.90
   0.11   0.90
   0.05   0.93
   0.00   0.97
   0.00   0.99
   0.00   0.98
   0.00   1.02
   0.01   1.02
   0.29   0.75
   0.80   0.18
   0.98   0.01
   1.02   0.01
   0.95   0.05
   0.86   0.13
   0.19   0.78
   0.00   0.97
   0.00   1.01
   0.00   1.01
   0.00   1.05
   0.00   1.01
   0.03   1.00
   0.04   0.97
   0.20   0.83
   0.05   0.97
   0.00   1.02
   0.00   0.99
   0.00   0.99
   0.00   1.04
   0.26   0.75
   0.82   0.22
   1.01   0.01
   1.03   0.00
   0.88   0.09
   0.51   0.50
   0.05   0.96
   0.00   0.99
   0.00   0.98
   0.00   1.00
   0.01   0.99
   0.01   0.98
   0.05   0.95
   0.10   0.89
   0.50   0.48
   0.53   0.47
   0.24   0.79
   0.01   0.99
   0.00   0.99
   0.00   0.99
   0.01   0.96
   0.20   0.78
   0.88   0.14
   1.00   0.00
   1.02   0.02
   0.52   0.46
   0.16   0.87
   0.04   0.94
   0.00   1.00
   0.00   0.99
   0.09   0.90
   0.13   0.86
   0.24   0.76
   0.42   0.60
   0.82   0.15
   1.00   0.04
   0.71   0.30
   0.17   0.83
   0.05   0.96
   0.09   0.94
   0.00   0.98
   0.13   0.87
   0.68   0.35
   0.95   0.07
   1.02   0.02
   0.95   0.04
   0.74   0.26
   0.09   0.88
   0.00   0.97
   0.01   1.05
   0.05   0.97
   0.02   0.94
   0.30   0.71
   0.35   0.65
   0.85   0.14
   1.00   0.02
   0.78   0.23
   0.35   0.65
   0.06   0.97
   0.39   0.58
   0.05   0.94
   0.04   0.97
   0.52   0.50
   0.95   0.06
   1.00   0.00
   0.98   0.00
   0.88   0.14
   0.20   0.82
   0.00   0.97
   0.00   0.99
   0.06   0.93
   0.33   0.65
   0.57   0.43
   0.08   0.93
   0.39   0.59
   0.97   0.01
   1.00   0.02
   0.46   0.54
   0.15   0.84
   0.33   0.66
   0.23   0.77
   0.12   0.89
   0.25   0.72
   0.89   0.12
   0.97   0.00
   0.97   0.00
   0.79   0.19
   0.08   0.91
   0.07   0.95
   0.13   0.85
   0.60   0.40
   0.82   0.18
   0.79   0.19
   0.32   0.64
   0.50   0.50
   0.98   0.03
   0.95   0.09
   0.82   0.16
   0.93   0.08
   0.87   0.12
   0.66   0.33
   0.45   0.51
   0.09   0.89
   0.30   0.73
   0.77   0.22
   0.97   0.03
   0.78   0.21
   0.15   0.87
   0.64   0.33
   0.38   0.62
   0.69   0.34
   0.98   0.03
   0.99   0.01
   0.93   0.09
   0.94   0.06
   0.99   0.05
   0.80   0.17
   0.87   0.14
   0.95   0.03
   0.70   0.30
   0.68   0.30
   0.81   0.21
   0.21   0.78
   0.15   0.83
   0.27   0.75
   0.52   0.48
   0.70   0.32
   0.82   0.22
   1.01   0.01
   0.94   0.05
   0.85   0.15
   0.97   0.04
   0.83   0.14
   0.93   0.08
   0.87   0.17
   0.89   0.12
   0.54   0.42
   0.53   0.46
   0.61   0.38
   0.18   0.83
   0.23   0.78
   0.32   0.70
   0.34   0.66
   0.18   0.83
   0.08   0.91
   0.04   0.95
   0.36   0.61
   0.94   0.08
   0.94   0.03
   0.99   0.00
   0.95   0.06
   0.57   0.44
   0.13   0.87
   0.11   0.85
   0.50   0.52
   0.63   0.40
   0.38   0.61
   0.07   0.90
   0.04   0.95
   0.01   0.99
   0.00   1.00
   0.14   0.86
   0.30   0.71
   0.11   0.86
   0.19   0.78
   0.02   0.99
   0.40   0.55
   0.83   0.15
   0.37   0.61
   0.75   0.23
   0.81   0.18
